price,town,county,year
320000,NORWICH,NORFOLK,2024
291000,DEREHAM,NORFOLK,2024
337250,WYMONDHAM,NORFOLK,2024
270000,NORWICH,NORFOLK,2024
337500,NORWICH,NORFOLK,2024
354995,NORWICH,NORFOLK,2024
450000,NORWICH,NORFOLK,2024
225000,DEREHAM,NORFOLK,2024
455000,NORWICH,NORFOLK,2024
335000,NORWICH,NORFOLK,2024
427995,NORWICH,NORFOLK,2024
251746,THETFORD,NORFOLK,2024
430000,NORWICH,NORFOLK,2024
155000,WISBECH,NORFOLK,2024
245000,DEREHAM,NORFOLK,2024
308995,SWAFFHAM,NORFOLK,2024
260296,THETFORD,NORFOLK,2024
435000,NORWICH,NORFOLK,2024
160000,WISBECH,NORFOLK,2024
407000,ATTLEBOROUGH,NORFOLK,2024
462500,NORWICH,NORFOLK,2024
335000,ATTLEBOROUGH,NORFOLK,2024
350000,NORWICH,NORFOLK,2024
430000,NORWICH,NORFOLK,2024
279950,ATTLEBOROUGH,NORFOLK,2024
385000,SWAFFHAM,NORFOLK,2024
274950,ATTLEBOROUGH,NORFOLK,2024
210000,NORWICH,NORFOLK,2024
399995,NORWICH,NORFOLK,2024
256496,THETFORD,NORFOLK,2024
470000,NORWICH,NORFOLK,2024
252000,NORWICH,NORFOLK,2024
265000,SWAFFHAM,NORFOLK,2024
325000,THETFORD,NORFOLK,2024
168500,BRANDON,SUFFOLK,2024
185000,LEISTON,SUFFOLK,2024
187500,SAXMUNDHAM,SUFFOLK,2024
232000,HAVERHILL,SUFFOLK,2024
250000,EYE,SUFFOLK,2024
149000,LOWESTOFT,SUFFOLK,2024
397500,IPSWICH,SUFFOLK,2024
820000,SAXMUNDHAM,SUFFOLK,2024
315000,COLCHESTER,SUFFOLK,2024
775000,WOODBRIDGE,SUFFOLK,2024
112000,LOWESTOFT,SUFFOLK,2024
228000,BURY ST EDMUNDS,SUFFOLK,2024
290000,HAVERHILL,SUFFOLK,2024
400000,BURY ST EDMUNDS,SUFFOLK,2024
260000,BURY ST EDMUNDS,SUFFOLK,2024
238000,IPSWICH,SUFFOLK,2024
308000,IPSWICH,SUFFOLK,2024
240000,NEWMARKET,SUFFOLK,2024
258000,BURY ST EDMUNDS,SUFFOLK,2024
318000,BURY ST EDMUNDS,SUFFOLK,2024
802500,BURY ST EDMUNDS,SUFFOLK,2024
282000,BURY ST EDMUNDS,SUFFOLK,2024
320000,BURY ST EDMUNDS,SUFFOLK,2024
325000,EYE,SUFFOLK,2024
270000,BURY ST EDMUNDS,SUFFOLK,2024
882500,BURY ST EDMUNDS,SUFFOLK,2024
205000,IPSWICH,SUFFOLK,2024
775000,NEWMARKET,SUFFOLK,2024
385000,BURY ST EDMUNDS,SUFFOLK,2024
625000,SOUTHWOLD,SUFFOLK,2024
248000,WOODBRIDGE,SUFFOLK,2024
450000,BURY ST EDMUNDS,SUFFOLK,2024
370000,BECCLES,SUFFOLK,2024
237500,EYE,SUFFOLK,2024
367400,GREAT YARMOUTH,NORFOLK,2024
230000,BURY ST EDMUNDS,SUFFOLK,2024
154818,IPSWICH,SUFFOLK,2024
340000,LOWESTOFT,SUFFOLK,2024
175000,IPSWICH,SUFFOLK,2024
290000,HAVERHILL,SUFFOLK,2024
